 ,ar,pt-br,bg,cs,da,nl,en-gb,en-US,fi,fr,de,el,he,hu,id,it,ja,ko,no,pl,ro,ru,zh-cn,es,sv,th,zh-tw,tr,vi
usdk_help_center_article_view_media,عرض الوسائط,Ver a mídia,Преглед на видеото,Zobrazit média,Vis medie,Media weergeven,View media,View media,Näytä media,Regarder,Medien anzeigen,Προβολή μέσων,הצג מדיה,Média megtekintése,Tampilkan media,Visualizza video,メディアを表示,미디어 보기,Vis medier,Wyświetl multimedia,Vizualizare material media,Смотреть мультимедиа,查看媒体,Ver video,Visa media,ดูสื่อ,檢視媒體,Medyayı görüntüle,Xem phương tiện
usdk_first_time_permission_deny,يحتاج هذا التطبيق إلى إذن للوصول إلى صورك.,Esse aplicativo precisa de permissão para acessar suas fotos.,Това приложение трябва да има разрешение за достъп до вашите снимки.,Tato aplikace potřebuje oprávnění pro přístup k vašim fotkám.,Denne app skal have tilladelse til at få adgang til dine fotos.,Deze app heeft toestemming nodig om toegang tot uw foto's te krijgen.,This app needs permission to access your photos.,This app needs permission to access your photos.,Tämä sovellus tarvitsee oikeuden käyttää kuviasi.,Cette application a besoin d’une autorisation pour accéder à vos photos.,Diese App benötigt Zugriff auf Ihre Fotos.,Αυτή η εφαρμογή χρειάζεται άδεια για την πρόσβαση στις φωτογραφίες σας.,האפליקציה הזאת צריכה הרשאת גישה לתמונות שלך.,Az alkalmazás használatához engedélyeznie kell a fényképekhez való hozzáférést.,Aplikasi ini perlu izin untuk mengakses foto Anda.,L’app richiede il permesso per accedere alle tue foto.,このアプリに写真へのアクセスを許可する必要があります。,이 앱에서 사진에 액세스하기 위한 권한이 필요합니다.,Du må autorisere denne appen til å få tilgang til bildene dine.,Ta aplikacja potrzebuje uprawnień dostępu do Twoich zdjęć.,Această aplicație are nevoie de permisiune pentru a vă accesa fotografiile.,Этому приложению нужно разрешение на доступ к вашим фотографиям.,此应用需要权限访问您的照片。,Esta aplicación necesita permiso para acceder a sus fotos.,Denna app behöver åtkomsträttigheter till dina bilder.,แอปนี้ต้องการสิทธิ์ในการเข้าถึงภาพถ่ายของคุณ,此 app 需要權限以存取您的相片。,Bu uygulamanın fotoğraflarınıza erişmesi için izin gerekiyor.,Ứng dụng này cần có quyền truy cập vào ảnh của bạn.
usdk_got_the_message_label,وصلت الرسالة,Mensagem recebida,Получихме съобщението,Dostali jsme vaši zprávu,Meddelelsen er modtaget,Bericht ontvangen,Got the message,Got the message,Saimme viestin,Message reçu,Nachricht erhalten,Το μήνυμα ελήφθη,קיבלנו את המסר,Vettük az üzenetet,Pesan sudah didapat,Messaggio ricevuto,メッセージを受け取りました,메시지를 받았습니다.,Meldingen er mottatt,Wiadomość odebrana,Am primit mesajul,Сообщение получено,已收到消息,Recibimos el mensaje,Tack för meddelandet,ได้รับข้อความแล้ว,已取得訊息,Mesaj alındı,Đã nhận được tin nhắn
usdk_fail_fetch_attachment,تعذر إحضار المرفقات,Falha ao buscar os anexos,Неуспешно извличане на прикачени файлове,Nepovedlo se načíst přílohy,De vedhæftede filer blev ikke hentet,Kan bijlagen niet ophalen,Failed to fetch attachments,Failed to fetch attachments,Liitteiden noutaminen epäonnistui,Échec de la récupération des pièces jointes,Fehler beim Abrufen von Anhängen,Η λήψη των συνημμένων απέτυχε,אחזור הקבצים המצורפים נכשל,Nem sikerült betölteni a mellékleteket,Gagal mengambil lampiran,Impossibile reperire gli allegati.,添付ファイルを取得できませんでした,첨부 파일을 가져오지 못했습니다.,Får ikke tak i vedlegg,Nie udało się pobrać załączników,Preluarea fișierelor atașate a eșuat,Не удалось получить прикрепленные файлы,抓取附件失败,Error al intentar obtener adjuntos,Det gick inte att hämta bilagor,ไม่สามารถดึงข้อมูลไฟล์แนบได้,擷取附件失敗,Ekler alınamadı,Không tìm nạp được tập tin đính kèm
usdk_articles_list_fragment_no_articles_found,لم يُعثر على مقالات,Nenhum artigo encontrado,Няма намерени статии,Nebyly nalezeny žádné články,Der blev ikke fundet nogen artikler,Geen artikelen gevonden,No articles found,No articles found,Artikkeleja ei löytynyt,Aucun article trouvé,Keine Beiträge gefunden,Δεν βρέθηκαν άρθρα,לא נמצאו מאמרים,Nem találhatók cikkek,Artikel tidak ditemukan,Nessun articolo trovato.,記事が見つかりません,문서를 찾지 못했습니다.,Finner ingen artikler,Nie znaleziono artykułów,Nu s-au găsit articole,Статьи не найдены,未找到文章,No se encontraron artículos,Inga artiklar hittades,ไม่พบบทความ,找不到文章,Makale bulunamadı,Không tìm thấy bài viết nào
usdk_allow_photo_access,السماح بالوصول إلى الصور,Permitir acesso ao álbum de fotos,Разрешаване на достъпа до снимки,Povolit přístup k fotkám,Tillad adgang til fotos,Toegang tot foto's toestaan,Allow photo access,Allow photo access,Salli kuvien käyttö,Autoriser l’accès aux photos,Zugriff auf Fotos zulassen,Να επιτρέπεται η πρόσβαση στις φωτογραφίες,אפשר גישה לתמונות,Fényképekhez való hozzáférés engedélyezése,Izinkan akses foto,Consenti accesso alle foto,写真へのアクセスを許可,사진 액세스 허용,Tillat bildetilgang,Zezwól na dostęp do zdjęć,Permitere acces la fotografii,Разрешить доступ к фото,允许对照片的访问,Permitir acceso a fotos,Tillåt fotoåtkomst,อนุญาตการเข้าถึงรูปถ่าย,允許相片存取,Fotoğraflara erişime izin ver,Cho phép truy cập ảnh
usdk_reconecting,جارٍ إعادة الاتصال...,Reconectando...,Връзката се възстановява...,Probíhá obnova připojení...,Genopretter forbindelse ...,Opnieuw verbinding maken...,Reconnecting...,Reconnecting...,Yhteyttä luodaan uudelleen...,Reconnexion en cours,Neu verbinden…,Γίνεται επανασύνδεση...,מתחבר מחדש...,Újracsatlakozás…,Menghubungkan ulang...,Riconnessione...,再接続中...,다시 연결 중…,Kobler til igjen ...,Ponowne łączenie...,Se reconectează...,Восстановление подключения...,正在重新连接……,Volviendo a conectarse...,Ansluter igen...,กำลังเชื่อมต่อใหม่...,重新連線中……,Yeniden bağlanıyor...,Đang kết nối lại...
usdk_jwt_error_message_content,يتعذر علينا مساعدتك الآن. أعد المحاولة لاحقًا.,Não podemos ajudar você no momento. Tente novamente mais tarde.,Не можем да ви помогнем в момента. Опитайте отново по-късно.,Právě teď vám nemůžeme pomoci. Zkuste to znovu později.,Vi kan desværre ikke hjælpe dig lige nu. Prøv igen senere.,We kunnen u nu niet helpen. Probeer het later opnieuw.,We can't help you right now. Try again later.,We can't help you right now. Try again later.,Emme voi auttaa sinua nyt. Yritä myöhemmin uudelleen.,Nous ne pouvons pas vous aider dans l’immédiat. Réessayez ultérieurement.,Wir können Ihnen im Moment leider nicht helfen. Versuchen Sie es später erneut.,Δεν μπορούμε να σας βοηθήσουμε αυτήν τη στιγμή. Προσπαθήστε ξανά αργότερα.,אנחנו לא יכולים לעזור לך כרגע. נסה שוב מאוחר יותר.,Jelenleg nem tudunk segíteni Önnek. Próbálkozzon újra később.,Kami tidak dapat membantu Anda sekarang. Coba lagi nanti.,Al momento non possiamo aiutarti. Riprova più tardi.,サービスが一時的に停止しています。後でもう一度お試しください。,지금은 도와드릴 수 없습니다. 나중에 다시 시도하세요.,Vi kan ikke hjelpe deg akkurat nå. Prøv igjen senere.,Nie możemy Ci teraz pomóc. Spróbuj ponownie później.,Nu vă putem ajuta momentan. Încercați din nou mai târziu.,Сейчас мы не можем вам помочь. Повторите попытку позже.,现在我们无法为您提供帮助。稍后重试。,No podemos ayudarle en este momento. Vuelva a intentarlo más tarde.,Vi kan inte hjälpa dig just nu. Försök igen senare.,เราไม่สามารถช่วยคุณได้ในขณะนี้ ลองอีกครั้งในภายหลัง,我們現在不能為您提供幫助。稍後重試。,Size şu anda yardımcı olamıyoruz. Daha sonra yeniden deneyin.,Chúng tôi hiện không thể giúp bạn. Hãy thử lại sau.
usdk_help_center_create_request_button_label,إنشاء طلب,Criar uma solicitação,Създаване на заявка,Vytvořit požadavek,Opret en anmodning,Een aanvraag doen,Create a request,Create a request,Luo pyyntö,Créer une demande,Anfrage erstellen,Δημιουργία αιτήματος,צור בקשה,Kérelem létrehozása,Buat permintaan,Crea una richiesta,リクエストを作成,요청 만들기,Opprett en forespørsel,Utwórz zlecenie,Creați o solicitare,Создать запрос,创建请求,Crear una solicitud,Skapa en förfrågan,สร้างคำร้องขอ,建立請求,Talep oluştur,Tạo yêu cầu
usdk_get_in_touch_label_saddle_bar,اتصال,Entrar em contato,Свържете се с нас,Kontaktujte nás,Tag kontakt,Contact opnemen,Get in touch,Get in touch,Ota yhteyttä,Contactez notre équipe,Kontaktaufnahme,Επικοινωνήστε,צור קשר,Kapcsolatfelvétel,Menghubungi,Contattaci,連絡をとる,연락하기,Ta kontakt,Skontaktuj się,Luați legătura cu noi,Связаться,联系,Ponerse en contacto,Hör av dig,ติดต่อกัน,聯絡我們,Bizimle iletişime geçin,Liên hệ
usdk_custom_field_conf_success,<b>[تحذير ZENDESK]</b> تكوين الحقل المخصص غير صالح,<b>[AVISO DO ZENDESK]</b> Campo personalizado configurado incorretamente,<b>[ZENDESK – ПРЕДУПРЕЖДЕНИЕ]</b> Специалното поле не е конфигурирано правилно,<b>[UPOZORNĚNÍ ZENDESKU]</b> Vlastní pole není správně konfigurované,<b>[ZENDESK ADVARSEL]</b> Brugerdefineret felt er ikke konfigureret korrekt,<b>[ZENDESK WARNING]</b> Aangepast veld is niet juist geconfigureerd,<b>[ZENDESK WARNING]</b> Custom field not configured correctly,<b>[ZENDESK WARNING]</b> Custom field not configured correctly,<b>[ZENDESK-VAROITUS]</b> Mukautettua kenttää ei ole määritetty oikein,<b>[AVERTISSEMENT ZENDESK]</b> Le champ personnalisé n’est pas configuré correctement,<b>[ZENDESK-WARNUNG]</b> Angepasstes Feld nicht richtig konfiguriert ,<b>[ΠΡΟΕΙΔΟΠΟΙΗΣΗ ZENDESK]</b> Το εξατομικευμένο πεδίο δεν είναι σωστά διαμορφωμένο,<b>[אזהרת ZENDESK]</b> השדה המותאם לא מוגדר כמו שצריך,<b>[ZENDESK-FIGYELMEZTETÉS]</b> Az egyéni mező nincs megfelelően beállítva,<b>[PERINGATAN ZENDESK]</b> Petak kustom tidak dikonfigurasi dengan benar,<b>[AVVERTENZA ZENDESK]</b> Campo personalizzato non configurato correttamente,<b>[ZENDESK WARNING]</b> カスタムフィールドが正しく設定されていません,<b>[ZENDESK 경고]</b> 사용자 지정 필드가 올바르게 구성되어 있지 않습니다.,<b>[ZENDESK-ADVARSEL]</b> Egendefinert felt er ikke riktig konfigurert,<b>[OSTRZEŻENIE ZENDESK]</b> Nieprawidłowo skonfigurowano dostosowane pole,<b>[AVERTISMENT ZENDESK]</b> Câmpul personalizat nu este corect configurat,<b>[ПРЕДУПРЕЖДЕНИЕ ZENDESK]</b> Неправильно настроено специальное поле,<b>[ZENDESK 警告]</b> 自定义字段未正确配置,<b>[ADVERTENCIA DE ZENDESK]</b> El campo personalizado no está configurado correctamente,<b>[ZENDESK-VARNING]</b> Eget fält inte konfigurerat korrekt,<b>[คำเตือน ZENDESK]</b> ไม่ได้กำหนดค่าฟิลด์ที่กำหนดเองอย่างถูกต้อง,<b>[ZENDESK 警告]</b> 自訂欄位未正確設定,<b>[ZENDESK UYARISI]</b> Özel alan doğru yapılandırılmamış,<b>[CẢNH BÁO CỦA ZENDESK]</b>Chưa định cấu hình đúng trường tùy chỉnh
usdk_request_list_re,بخصوص: %s,Re: %s,Отн.: %s,Re: %s,Ang.: %s,Re: %s,Re: %s,Re: %s,Aihe: %s,Re : %s,Betreff: %s,Σχετ.: %s,לגבי: %s,Re: %s,Balas: %s,R: %s,Re: %s,답장: %s,Ang.: %s,Odp.: %s,Referitor la: %s,На: %s,回复：%s,Re: %s,Ang: %s,ตอบกลับ: %s,RE：%s,Yanıt: %s,Trả lời: %s
usdk_create_request_feedback_message_label,إذا احتجنا لمزيد من المعلومات، فسنتواصل معك.,"Se precisarmos de mais informações, entraremos em contato.","Ако се нуждаем от допълнителна информация, ще се свържем с вас.","Pokud budeme potřebovat více informací, budeme vás kontaktovat.","Vi kontakter dig, hvis vi har brug for flere oplysninger.","Als we meer informatie nodig hebben, nemen we contact met u op.","If we need more info, we'll be in touch.","If we need more info, we'll be in touch.","Jos tarvitsemme lisätietoja, otamme yhteyttä.",Nous vous contacterons si nous avons besoin d’informations supplémentaires.,"Wir melden uns, wenn wir weitere Informationen brauchen.","Αν χρειαστούμε περισσότερες πληροφορίες, θα επικοινωνήσουμε μαζί σας.","אם נצטרך עוד מידע, נהיה בקשר.","Ha további információkra lesz szükségünk, akkor felvesszük Önnel a kapcsolatot.","Jika kami perlu info lebih lanjut, kami akan menghubungi Anda.","Se necessario, ti contatteremo per ulteriori informazioni.",さらに情報が必要な場合は、こちらからご連絡いたします。,정보가 더 필요하면 연락드리겠습니다.,"Hvis vi trenger mer informasjon, tar vi kontakt.","Jeśli będziemy potrzebować więcej informacji, skontaktujemy się z Tobą.","Dacă vom avea nevoie de mai multe informații, vă vom contacta.","Если понадобится больше информации, мы с вами свяжемся.",如果需要更多信息，我们将会与您联系。,Nos comunicaremos si necesitamos más información.,Vi kontaktar dig om vi behöver mer information.,หากเราต้องการข้อมูลเพิ่มเติม เราจะติดต่อคุณ,若我們需要更多資訊，將與您聯絡。,Daha fazla bilgiye gereksinimimiz olursa iletişime geçeceğiz.,"Nếu cần thêm thông tin, chúng tôi sẽ liên hệ."
usdk_me,أنا,Eu,Аз,Já,Mig,Ik,Me,Me,Minä,Moi,Ich,Εγώ,אני,Én,Saya,Io,自分,나,Meg,Ja,Eu,Я,我,Yo,Jag,ฉัน,我,Ben,Tôi
usdk_fill_client_id,يجب إدخال معرِّف العميل,A ID do cliente deve ser preenchida,Полето за идентификатор на клиента трябва да се попълни,ID klienta musí být vyplněné,Klient-id skal udfyldes,Klant-id moet worden ingevuld,Client ID must be filled,Client ID must be filled,Asiakkaan tunnus on annettava,L’ID client ne peut pas être vide,Client-ID muss angegeben werden,Πρέπει να συμπληρωθεί το αναγνωριστικό πελάτη,חובה למלא את מזהה הלקוח,A kliensazonosítót kötelező kitölteni,ID Klien harus diisi,ID client deve avere un valore,クライアントIDを入力してください,클라이언트 ID를 입력해야 합니다.,Klient-ID må være utfylt,Trzeba podać ID klienta,Identificatorul clientului trebuie să fie completat,Следует указать ID клиента,必须填写客户端 ID,ID del cliente debe rellenarse,Klient-ID måste vara ifyllt,ต้องกรอก ID ไคลเอ็นต์,必須填入用戶端 ID,İstemci No doldurulmalıdır,Phải điền ID ứng dụng khách
usdk_error_msg_invalid_name,الاسم إجباري,O nome é obrigatório,Името е задължително,Jméno je povinné,Navn er obligatorisk,Naam is verplicht,Name is mandatory,Name is mandatory,Nimi on pakollinen,Le nom est obligatoire,Name ist erforderlich,Το όνομα είναι υποχρεωτικό,חובה לציין שם,Kötelező megadni a nevet,Nama wajib diisi,Nome obbligatorio,名前は入力必須です,이름은 필수임,Navn er påkrevd,Imię i nazwisko są wymagane,Numele este obligatoriu,Имя обязательно,姓名是必填项,El nombre es obligatorio,Namnet är obligatoriskt,จำเป็นต้องมีชื่อ,姓名為必要項目,Ad zorunludur,Tên là bắt buộc
usdk_label_copy,نسخ,Copiar,Копиране,Kopírovat,Kopiér,Kopiëren,Copy,Copy,Kopioi,Copier,Kopieren,Αντιγραφή,העתק,Másolás,Salin,Copia,コピー,복사,Kopier,Kopiuj,Copiere,Копировать,复制,Copiar,Kopiera,สำเนา,複製,Kopyala,Sao chép
usdk_error_msg_invalid_message,الرسالة إجبارية,A mensagem é obrigatória,Съобщението е задължително,Zpráva je povinná,Meddelelse er obligatorisk,Bericht is verplicht,Message is mandatory,Message is mandatory,Viesti on pakollinen,Le message est obligatoire,Nachricht ist erforderlich,Το μήνυμα είναι υποχρεωτικό,חובה לציין הודעה,Kötelező üzenetet írni,Pesan wajib diisi,Messaggio obbligatorio,メッセージは入力必須です,메시지는 필수임,Melding er påkrevd,Wiadomość jest wymagana,Mesajul este obligatoriu,Сообщение обязательно,消息是必填项,El mensaje es obligatorio,Meddelandet är obligatoriskt,จำเป็นต้องมีข้อความ,訊息為必要項目,Mesaj zorunludur,Tin nhắn là bắt buộc
usdk_custom_fields_warning_message,يمكن أن تؤثر إضافة حقول مخصصة على أداء SDK. قم بالاختبار للتأكد أن التغييرات تعمل بشكل صحيح.,A adição de campos personalizados pode afetar o desempenho do seu SDK. Teste para assegurar o funcionamento correto das alterações.,Добавянето на специално поле може да повлияе на ефективността на SDK. Проверете дали промените работят правилно.,"Přidání vlastních polí může ovlivnit rychlost vašeho kitu SDK. Otestujte, že vaše změny budou fungovat správně.","Tilføjelse af brugerdefinerede felter kan påvirke SDK-ydeevnen. Test for at sikre, at ændringerne fungerer korrekt.",Het toevoegen van aangepaste velden heeft mogelijk invloed op de prestaties van uw SDK. Voer een test uit om er zeker van te zijn dat de wijzigingen naar behoren werken.,Adding to custom fields can affect the performance of your SDK. Test to ensure changes are working correctly.,Adding to custom fields can affect the performance of your SDK. Test to ensure changes are working correctly.,"Mukautettujen kenttien lisääminen voi vaikuttaa SDK:si toimintaan. Varmista testaamalla, että muutokset toimivat oikein.",L’ajout de champs personnalisés peut affecter les performances de votre SDK. Effectuez des tests pour vous assurer que les modifications fonctionnent correctement.,"Hinzufügen von angepassten Felder kann die Leistung des SDK beeinträchtigen. Testen Sie, ob die Änderungen korrekt funktionieren.",Η προσθήκη προσαρμοσμένων πεδίων μπορεί να επηρεάσει την απόδοση του SDK σας. Κάντε δοκιμές για να βεβαιωθείτε ότι οι αλλαγές λειτουργούν σωστά.,הוספת שדות מותאמים עלולה להשפיע על ביצועי ה-SDK. ודא שהשינויים עובדים כמו שצריך.,"Az egyéni mezők hozzáadása befolyásolhatja az Ön SDK-jának teljesítményét. Tesztelje le, és győződjön meg arról, hogy a változtatások megfelelően működnek.",Menambahkan petak kustom dapat memengaruhi kinerja SDK Anda. Uji untuk memastikan perubahan berfungsi dengan benar.,L’aggiunta di campi personalizzati può influire sulle prestazioni dell’SDK. Verifica che le modifiche funzionino come previsto.,カスタムフィールドに追加すると、SDKのパフォーマンスが低下するおそれがあります。テストを行い、変更が正しく機能していることを確認してください。,사용자 지정 필드를 추가하면 SDK의 성능에 영향을 미칠 수 있습니다. 테스트하여 변경 내용이 올바르게 작동하는지 확인하세요.,"Hvis du legger til egendefinerte felt, kan det påvirke ytelsen til SDK. Foreta en prøve for å være sikker på at endringene fungerer som de skal.","Dodanie do dostosowanych pól może wpłynąć na wydajność zestawu SDK. Zrób testy, aby mieć pewność, że po zmianach wszystko działa prawidłowo.",Adăugarea de câmpuri personalizate poate afecta performanța SDK. Testați pentru a vă asigura că modificările funcționează corect.,Добавление специальных полей может ухудшить работу SDK. Проведите тестирование изменений.,添加自定义字段会影响您 SDK 的绩效。测试以确保更改可正常工作。,Si se agregan campos personalizados puede verse afectado el rendimiento del SDK. Haga una prueba para asegurarse de que los cambios estén funcionando correctamente.,Om du lägger till egna fält kan det påverka ditt SDK:s prestanda. Testa för att säkerställa att ändringarna fungerar korrekt.,การเพิ่มฟิลด์ที่กำหนดเองอาจส่งผลต่อประสิทธิภาพ SDK ของคุณได้ โปรดทดสอบเพื่อให้แน่ใจว่าการเปลี่ยนแปลงทำงานได้อย่างถูกต้อง,新增自訂欄位將影響您的 SDK 的效能。進行測試以確保變更正常運作。,Özel alanlar eklemek SDK'nizin performansını olumsuz etkileyebilir. Değişikliklerin doğru işleyip işlemediğini test edin.,Việc thêm trường tùy chỉnh có thể ảnh hưởng đến hiệu suất SDK của bạn. Hãy kiểm tra để đảm bảo các thay đổi hoạt động đúng.
usdk_conversations_title,المحادثات,Conversas,Разговори,Konverzace,Samtaler,Gesprekken,Conversations,Conversations,Keskustelut,Conversations,Konversationen,Συζητήσεις,שיחות,Beszélgetések,Percakapan,Conversazioni,会話,대화,Samtaler,Konwersacje,Conversații,Разговоры,对话,Conversaciones,Konversationer,การสนทนา,對話,Görüşmeler,Cuộc hội thoại
usdk_csat_bad,سيئ,Ruim,Отрицателно,Špatné,Dårlig,Slecht,Bad,Bad,Huono,Mal,Schlecht,Κακή,רע,Rossz,Buruk,Negativa,不満,나쁨,Dårlig,Źle,Slab,Плохо,不好,Mal,Dålig,ไม่ดี,不好,Kötü,Không tốt
usdk_get_in_touch_label_conversation_header,اتصال,Entrar em contato,Свържете се с нас,Kontaktujte nás,Tag kontakt,Contact opnemen,Get in touch,Get in touch,Ota yhteyttä,Contactez notre équipe,Kontaktaufnahme,Επικοινωνήστε,צור קשר,Kapcsolatfelvétel,Menghubungi,Contattaci,連絡をとる,연락하기,Ta kontakt,Skontaktuj się,Luați legătura cu noi,Связь,联系,Póngase en contacto,Hör av dig,ติดต่อกัน,聯絡我們,Bizimle iletişime geçin,Liên hệ
usdk_request_tap_to_retry,المس لإعادة المحاولة,Toque para tentar novamente,Докоснете за нов опит,Klepnutím zkuste znovu,Tryk for at prøve igen,Tik om het opnieuw te proberen,Tap to retry,Tap to retry,Yritä uudelleen napauttamalla,Appuyez pour réessayer,"Tippen, um es erneut zu versuchen.",Πατήστε για επανάληψη,הקש לניסיון נוסף,Koppintson a küldés megismétléséhez,Ketuk untuk mencoba lagi,Tocca per riprovare,タップして再送信,다시 시도하려면 탭하세요.,Trykk for å prøve igjen,"Stuknij, aby spróbować ponownie",Atingeți pentru a reîncerca,"Нажмите, чтобы повторить попытку",点击以重试,Tocar para volver a intentar,Tryck för att försöka igen,แตะเพื่อลองอีกครั้ง,點選以重試,Yeniden denemek için dokunun,Gõ để thử lại
usdk_error_page_message_new_design,Support غير متاح حاليًا. أعد المحاولة لاحقًا.,O Support não está disponível no momento. Tente novamente mais tarde.,В момента нямате достъп до Support. Опитайте отново по-късно.,Support právě teď není dostupný. Zkuste to znovu později.,Support er ikke tilgængelig lige nu. Prøv igen senere.,Support is momenteel niet beschikbaar. Probeer het later opnieuw.,Support isn't available right now. Try again later.,Support isn't available right now. Try again later.,Support ei ole juuri nyt käytettävissä. Yritä myöhemmin uudelleen.,Support n’est pas disponible actuellement. Réessayez ultérieurement.,Support ist momentan nicht verfügbar. Versuchen Sie es später erneut.,Το Support δεν είναι διαθέσιμο αυτήν τη στιγμή. Προσπαθήστε ξανά αργότερα.,Support אינו זמין כרגע. נסה שוב מאוחר יותר.,A Support funkció jelenleg nem érhető el. Próbálkozzon újra később.,Support tidak tersedia sekarang. Coba lagi nanti.,Support non è disponibile al momento. Riprova più tardi.,Supportは現在利用できません。後でもう一度お試しください。,현재 Support를 사용할 수 없습니다. 나중에 다시 시도하세요.,Support er ikke tilgjengelig akkurat nå. Prøv igjen senere.,Support jest w tej chwili niedostępny. Spróbuj ponownie później.,Support nu este disponibil momentan. Încercați din nou mai târziu.,Сейчас Support недоступен. Повторите попытку позже.,Support 当前不可用。请稍后重试。,Support no está disponible en este momento. Vuelva a intentarlo más tarde.,Support är inte tillgängligt just nu. Försök igen senare.,Support ไม่พร้อมให้บริการในขณะนี้ ลองอีกครั้งในภายหลัง,目前 Support 不可用。稍後重試。,Support şu anda kullanılamıyor. Daha sonra yeniden deneyin.,Support hiện không khả dụng. Vui lòng thử lại sau.
usdk_generic_error_message_title,فقد الاتصال,Perda de conexão,Прекъсната връзка,Chybí připojení,Ingen forbindelse,Verbinding ontbreekt,Missed connection,Missed connection,Yhteys katkesi,Échec de connexion,Verpasste Verbindung,Η σύνδεση διακόπηκε,החיבור נפסק,Nem fogadott csatlakozás,Koneksi terlewat,Connessione mancata,接続されていません,연결이 끊김,Mangler forbindelse,Nie wykryto połączenia,Conexiune pierdută,Отсутствует соединение,连接出错,Se interrumpió la conexión,Ingen anslutning,การเชื่อมต่อขาดหาย,無連線,Bağlantı yok,Kết nối bị lỡ
usdk_zendesk_label,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk,Zendesk
usdk_required_field_label,حقل مطلوب,Campo obrigatório,Задължително поле,Povinné pole,Obligatorisk felt,Vereist veld,Required field,Required field,Pakollinen kenttä,Champ obligatoire,Feld erforderlich,Απαιτούμενο πεδίο,שדה חובה,Kötelező mező,Petak yang wajib diisi,Campo obbligatorio,必須フィールド,필수 필드,Obligatorisk felt,Pole wymagane,Câmp obligatoriu,Обязательное поле,必填字段,Campo obligatorio,Obligatoriskt fält,ฟิลด์ที่จำเป็นต้องระบุ,必填欄位,Gerekli alan,Trường bắt buộc
usdk_request_label,طلب,Solicitação,Искане,Požadavek,Anmodning,Aanvragen,Request,Request,Pyyntö,Demander,Anfrage,Αίτημα,בקשה,Kérelem,Permintaan,Richiesta,リクエスト,요청,Forespørsel,Zlecenie,Solicitare,Запросить,请求,Solicitud,Begäran,คำร้องขอ,請求,Talep Et,Yêu cầu
usdk_jwt_error_message,يوجد خطأ في جانبنا,Ocorreu um erro do nosso lado,Грешка при нас,Chyba je na naší straně,Der opstod en fejl i vores ende,Er is aan onze kant iets fout gegaan,There's an error on our end,There's an error on our end,Esiintyi virhe meidän puolellamme,Une erreur est survenue de notre côté,Fehler auf unserer Seite aufgetreten,Παρουσιάστηκε κάποιο σφάλμα από την πλευρά μας,יש שגיאה אצלנו,Hiba történt a mi rendszerünkben,Ada kesalahan pada pihak kami,Si è verificato un errore da parte nostra,Zendeskシステム内のエラー,저희쪽 오류입니다,Det oppstod en feil her på vår kant,Wystąpił problem po naszej stronie,A existat o eroare de partea noastră,У нас произошла ошибка,我们这里出错了,Hay un problema de nuestro lado,Ett fel har inträffat hos oss,ไม่มีข้อผิดพลาดในฝั่งของเรา,我們這邊出現錯誤,Bizim tarafımızda bir hata oluştu,Đã có lỗi ở phía chúng tôi
usdk_conversation_ended,انتهت المحادثة,Fim da conversa,Разговорът приключи,Konverzace skončila,Samtale sluttede,Gesprek beëindigd,Conversation ended,Conversation ended,Keskustelu päättynyt,Conversation terminée,Konversation beendet,Η συζήτηση τερματίστηκε,השיחה הסתיימה,A beszélgetés véget ért,Percakapan berakhir,Conversazione terminata,会話が終了しました,대화 종료됨,Samtalen ble avsluttet,Konwersacja zakończona,Conversația s-a încheiat,Разговор завершен,对话已结束,La conversación terminó,Konversation avslutad,การสนทนาสิ้นสุดแล้ว,對話已結束,Görüşme sona erdi,Cuộc hội thoại đã kết thúc
usdk_sample_button_request,إنشاء طلب,Criar uma solicitação,Създаване на заявка,Vytvořit požadavek,Opret en anmodning,Een aanvraag doen,Create a request,Create a request,Luo pyyntö,Créer une demande,Anfrage erstellen,Δημιουργία αιτήματος,צור בקשה,Kérelem létrehozása,Buat permintaan,Crea una richiesta,リクエストを作成,요청 만들기,Opprett en forespørsel,Utwórz zlecenie,Creați o solicitare,Создать запрос,创建请求,Crear una solicitud,Skapa en förfrågan,สร้างคำร้องขอ,建立請求,Talep oluştur,Tạo yêu cầu
